"titulo","titulo_fonte","genero","genero_fonte","diretor","diretor_fonte","dataLancamento","dataLancamento_fonte","nota","nota_fonte","atores","atores_fonte","distribuidora","distribuidora_fonte","captado","captado_fonte","maximo_numero_de_salas","maximo_numero_de_salas_fonte","bilheteria","bilheteria_fonte","publico","publico_fonte","classificacao_indicativa","classificacao_indicativa_fonte","titulo_filme_anterior","publico_filme_anterior","fonte_publico_filme_anterior","nome_programaTv","pontos_ibobeSP_Ano_do_lancamento","fonte_pontos_ibobeSP_Ano_do_lancamento","relancamento","temFilmeAnterior","filmeBaseadoSerieTV"
"180?","filmeB","Drama","ministerioDaJustica","eduardo vaisman","ministerioDaJustica",2011-09-16,"filmeB","3","imdb","eduardo moscovis / malu galli / felipe abid","ministerioDaJustica","providence","ministerioDaJustica",NA,"ancine",3,"filmeB",23316.4292159395,"ancine",2095,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"1958, o ano em que o mundo descobriu o brasil","filmeB","Documentário","ministerioDaJustica","jose carlos asbeg","ministerioDaJustica",2008-06-13,"filmeB","3","interfilmes","documentario",NA,"providence","ministerioDaJustica",1178415.38698889,"ancine",7,"ancine",35364.680202389,"ancine",3520,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"1972","filmeB","Drama","ministerioDaJustica","jose emlio rondeau","ministerioDaJustica",2006-11-24,"interfilmes","3","imdb","rafael rocha / dandara guerra / bem gil / tony tornado","ministerioDaJustica","columbia","ministerioDaJustica",4882254.52010577,"ancine",20,"filmeB",85283.5748912692,"ancine",6756,"filmeB","10","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"1983: o ano azul","filmeB","Documentário","ministerioDaJustica","carlos gebase","ministerioDaJustica",2009-06-05,"filmeB","5","folha","documentario",NA,"invideo","ministerioDaJustica",NA,NA,2,"ancine",29684.7828120039,"ancine",2304,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"1,99 - um supermercado que","filmeB","Drama","ministerioDaJustica","marcelo masagao","ministerioDaJustica",2004-03-19,"folha","3","imdb","agnes rosa / alex ramalho / alexandre buci","ministerioDaJustica","imovision","ministerioDaJustica",1516486.83105474,"ancine",3,"filmeB",137003.630432499,"ancine",11572,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"2000 nordestes","filmeB","Documentário","imdb","vicente amorim / david franca mendes","ancine",2001-09-07,"filmeB","3","imdb","documentario",NA,"riofilme","filmeB",NA,NA,1,"filmeB",44672.2658865983,"ancine",2597,"filmeB","0","cineclick",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"23 anos em 7 segundos - o fim do jejum corinthiano","filmeB","Documentário","ministerioDaJustica","julio xavier / di moretti","ministerioDaJustica",2009-06-26,"filmeB","4","folha","documentario",NA,"fox / videolar","ministerioDaJustica",925956.446689059,"ancine",7,"filmeB",19275.3804707286,"ancine",1718,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"31 minutos - o filme","filmeB","Animação","ministerioDaJustica","juan manuel egana / iafa britz / marcos didonet / vilma lustosa / walkiria b.","ministerioDaJustica",2012-08-03,"filmeB","3","imdb","animacao",NA,"h2o_films / riofilme","ministerioDaJustica",2637944.47814933,"ancine",98,"filmeB",467919.583223061,"ancine",51727,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"33","filmeB","Documentário","ministerioDaJustica","kiko goiufman","ministerioDaJustica",2004-03-14,"folha","3","imdb","documentario",NA,"plateau / paleo_tv / jose_carlos_avellar","ministerioDaJustica",NA,NA,3,"filmeB",NA,NA,11500,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"3 efes","filmeB","Comédia","ministerioDaJustica","carlos gebase","ministerioDaJustica",2007-12-07,"filmeB","2","imdb","ana maria mainieri / cris kessler / felipe de paula / carla cassapo","ministerioDaJustica","casa_de_cinema_de_porto_alegre","ministerioDaJustica",NA,NA,6,"ancine",10820.5127075446,"ancine",1290,"filmeB","16","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"3 irmaos de sangue","filmeB","Documentário","ministerioDaJustica","angela patricia reignier","ministerioDaJustica",2007-08-17,"filmeB","4","imdb","documentario",NA,"estacao","ministerioDaJustica",NA,NA,8,"ancine",91379.8033317297,"ancine",6873,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"400 contra 1 - a historia do","filmeB","Policial","ministerioDaJustica","caco souza","ministerioDaJustica",2010-08-06,"filmeB","3","imdb","daniel de oliveira / daniela escobar / fabricio boliveira / negra li","ministerioDaJustica","playarte","ministerioDaJustica",2447248.49722979,"ancine",76,"filmeB",1322196.64998594,"ancine",142575,"filmeB","18","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"4x timao - a conqusta do tetra","filmeB","Documentário","ministerioDaJustica","ricardo aidar / andre garolli","ministerioDaJustica",2011-06-17,"filmeB",NA,NA,"documentario",NA,"fox","ministerioDaJustica",721736.556729147,"ancine",1,"filmeB",2105.35273087338,"ancine",131,"filmeB","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
